price,date,media_movel_7d,media_movel_30d,bitcoin_return,Price_M
111521.54423183508,2025-09-10 00:01:58.797,111313.90839805442,111959.59591403505,3.087398522305662e-05,0.11
111062.11173220033,2025-09-10 01:02:21.837,111318.27499265788,111913.12516626772,-0.0041196748377128,0.11
111023.09957073673,2025-09-10 02:01:45.193,111300.72242811212,111878.31691857398,-0.0003512643587911,0.11
111397.55074284918,2025-09-10 03:00:35.162,111311.9078181827,111857.39632424492,0.0033727321031413,0.11
111525.92713938442,2025-09-10 04:02:20.585,111335.7265733245,111832.49249077092,0.0011524166885104,0.11
111521.6910568116,2025-09-10 05:01:39.509,111367.14652820615,111809.1143071292,-3.798293976553513e-05,0.11
111567.4027745938,2025-09-10 06:01:44.524,111374.18960691588,111793.85677357604,0.0004098908234713,0.11
111845.15109003942,2025-09-10 07:00:00.000,111420.41915808793,111800.2927636876,0.0024895113495362,0.11
112528.44834154386,2025-09-10 08:02:39.241,111629.89581656558,111837.67135035242,0.0061093149309114,0.11
112363.70010957935,2025-09-10 09:02:37.039,111821.4101792574,111873.5563922398,-0.0014640585060274,0.11
112249.77986728512,2025-09-10 10:04:31.275,111943.15719703394,111891.783230659,-0.001013852713849,0.11
112321.22186740593,2025-09-10 11:01:35.220,112056.77072960844,111901.53702428997,0.0006364555922091,0.11
112255.32408911726,2025-09-10 12:02:35.564,112161.57544850923,111905.35539080504,-0.0005866903617416,0.11
113426.4487582137,2025-09-10 13:01:50.368,112427.15344616924,111915.80561543364,0.0104326870783135,0.11
113934.39669773277,2025-09-10 14:03:27.515,112725.61710441114,111944.60822046084,0.0044782142532016,0.11
113891.18838609784,2025-09-10 15:02:56.153,112920.29425363312,111975.9188433096,-0.0003792385169648,0.11
113903.95331929345,2025-09-10 16:02:47.240,113140.33042644942,112008.67346754254,0.0001120800772782,0.11
113672.21437753728,2025-09-10 17:02:45.040,113343.53535648544,112040.50465486637,-0.0020345118409241,0.11
113734.63302411242,2025-09-10 18:02:41.235,113545.45123601495,112081.64150766966,0.0005491108527879,0.11
113592.01651974638,2025-09-10 19:02:33.877,113736.4072975334,112112.15216333716,-0.0012539408672097,0.11
