price,date,media_movel_7d,media_movel_30d,cardano_return,Price_M
0.7914566180268223,2025-07-25 19:08:26.306,,,,0.0
0.7950957453350213,2025-07-25 20:04:54.248,,,0.0045980123550821,0.0
0.8073988688606708,2025-07-25 21:09:19.007,,,0.0154737635031181,0.0
0.8127818177378555,2025-07-25 22:05:17.187,,,0.0066670255369327,0.0
0.8161020898023664,2025-07-25 23:09:29.941,,,0.0040850717770137,0.0
0.8152337316895072,2025-07-26 00:05:54.787,,,-0.0010640312329913,0.0
0.8178289061838361,2025-07-26 01:03:50.693,0.8079853968051542,,0.0031833502386495,0.0
0.8163937038497467,2025-07-26 02:04:34.683,0.8115478376370006,,-0.0017548931362505,0.0
0.8257996300608091,2025-07-26 03:09:12.779,0.8159341068835416,,0.0115213115518999,0.0
0.824318356701509,2025-07-26 04:01:39.416,0.81835117657509,,-0.0017937442757041,0.0
0.8237749223958066,2025-07-26 05:09:10.913,0.8199216200976546,,-0.0006592529467339,0.0
0.824899933951647,2025-07-26 06:08:51.315,0.8211784549761231,,0.0013656783245701,0.0
0.8197435609113866,2025-07-26 07:03:53.076,0.8218227162935344,,-0.0062509073258849,0.0
0.8192519554898157,2025-07-26 08:02:25.624,0.8220260090515316,,-0.0005997063533189,0.0
0.8245926923456772,2025-07-26 09:08:55.770,0.8231972931223787,,0.0065190407176609,0.0
0.8273044095792981,2025-07-26 10:02:14.943,0.82341226162502,,0.0032885535595845,0.0
0.8248496906386947,2025-07-26 11:11:22.722,0.8234881664731893,,-0.0029671290424423,0.0
0.8238873413748353,2025-07-26 12:04:29.069,0.8235042263273364,,-0.001166696520325,0.0
0.8278653788222259,2025-07-26 13:11:21.030,0.8239278613088475,,0.0048283754921545,0.0
0.8300995307909718,2025-07-26 14:09:19.840,0.8254072855773597,,0.0026986899390868,0.0
0.8283552615636901,2025-07-26 15:08:52.248,0.8267077578736275,,-0.0021012772114442,0.0
0.8339934449563625,2025-07-26 16:09:59.748,0.828050722532297,,0.0068064798454097,0.0
0.8331793472455269,2025-07-26 17:09:12.503,0.8288899993417581,,-0.0009761440161897,0.0
0.8271956718842347,2025-07-26 18:04:39.438,0.8292251395196926,,-0.0071817374987439,0.0
0.828941816081864,2025-07-26 19:02:43.985,0.8299472073349822,,0.002110920374682,0.0
0.8298436517792106,2025-07-26 20:04:21.665,0.8302298177574087,,0.0010879360648123,0.0
0.8262017701133217,2025-07-26 21:00:09.366,0.8296729948034587,,-0.0043886359292868,0.0
0.8294572923356215,2025-07-26 22:09:48.894,0.8298304277708775,,0.0039403476730064,0.0
0.8235052315684884,2025-07-26 23:04:57.113,0.8283321115726097,,-0.0071758495851823,0.0
0.8190799958273328,2025-07-27 00:04:37.048,0.8263179185128677,0.8216144122634719,-0.0053736583223971,0.0
0.8215403452199399,2025-07-27 01:09:11.629,0.8255100147036826,0.8226172031699092,0.0030037962166589,0.0
0.8262539444797501,2025-07-27 02:04:02.529,0.8251260330462379,0.8236558098080667,0.0057375140335296,0.0
0.8304322238711287,2025-07-27 03:02:25.774,0.8252101147736548,0.8244235883084153,0.0050568949404645,0.0
0.829932224505952,2025-07-27 04:09:56.006,0.8257430368297448,0.8249952685340186,-0.0006020953315682,0.0
0.8335617065631007,2025-07-27 05:09:39.046,0.8263293817193846,0.8255772557593765,0.0043732270539431,0.0
0.8348041305251752,2025-07-27 06:04:43.710,0.8279435101417685,0.826229602387232,0.0014905002860523,0.0
0.8288850881293022,2025-07-27 07:04:02.421,0.8293442376134783,0.8265981417854141,-0.0070903367382111,0.0
0.8245381427184304,2025-07-27 08:06:51.510,0.829772494398977,0.8268696230810371,-0.0052443281621609,0.0
0.8199832022726963,2025-07-27 09:00:43.059,0.8288766740836836,0.8266757421547665,-0.0055242325488022,0.0
0.8164927847300618,2025-07-27 10:03:17.125,0.8268853256349598,0.8264148897557183,-0.0042566939578277,0.0
0.8309183371299099,2025-07-27 11:03:41.614,0.8270261988669538,0.8266530035801885,0.017667703462459,0.0
0.8240164658220358,2025-07-27 12:07:53.102,0.8256625930468017,0.8266235546425347,-0.0083063172389648,0.0
0.825674667361167,2025-07-27 13:08:38.003,0.824358384023372,0.8268212581908607,0.0020123402964733,0.0
0.8198030131146495,2025-07-27 14:01:47.884,0.8230609447355643,0.8268396267783552,-0.0071113411596883,0.0
0.8183754934506532,2025-07-27 15:09:12.654,0.8221805662687391,0.8266323868151877,-0.0017412959469041,0.0
0.824053178794924,2025-07-27 16:09:26.300,0.8227619914862002,0.8265240124557086,0.0069377509342698,0.0
0.8237753489196443,2025-07-27 17:07:43.139,0.8238023577989976,0.8264882010650736,-0.0003371504199352,0.0
0.8257290648630446,2025-07-27 18:09:49.550,0.8230610331894456,0.8265495918480139,0.0023716610917801,0.0
0.8290477002138724,2025-07-27 19:04:39.439,0.8237797809597078,0.8265890025610688,0.0040190366211443,0.0
0.8271318571968986,2025-07-27 20:09:50.909,0.823987950936241,0.8264900801079329,-0.0023108960033053,0.0
0.8275946818913812,2025-07-27 21:09:57.121,0.8251010464757741,0.8264647274521894,0.0005595537041107,0.0
0.8317961652876144,2025-07-27 22:09:25.304,0.8270182853096256,0.8263914847965644,0.0050767404481515,0.0
0.8341346336780213,2025-07-27 23:04:21.799,0.828458493150068,0.8264233276776475,0.0028113478854503,0.0
0.8310520920963917,2025-07-28 00:04:50.440,0.8294980278896035,0.8265518750180528,-0.0036954964548557,0.0
0.8324612367948809,2025-07-28 01:08:59.691,0.8304597667370087,0.82666918904182,0.0016956153674247,0.0
