price,date,media_movel_7d,media_movel_30d,ethereum_return
3652.7506257832997,2025-07-25 19:09:08.953,,,
3646.7313611974123,2025-07-25 20:04:57.864,,,-0.001647871755438124
3689.7563762078876,2025-07-25 21:09:34.828,,,0.011798240876275568
3721.0131276930847,2025-07-25 22:08:48.813,,,0.00847122365225661
3720.4871698973434,2025-07-25 23:09:31.982,,,-0.00014134800864495922
3721.680063676286,2025-07-26 00:09:05.966,,,0.00032062838130286764
3722.466184778066,2025-07-26 01:04:30.061,3696.412129890483,,0.00021122748015134363
3707.435966690273,2025-07-26 02:08:45.774,3704.2243214486216,,-0.004037704398566322
3741.315319444871,2025-07-26 03:07:12.601,3717.736315483973,,0.009138216562333046
3740.833560428687,2025-07-26 04:02:22.080,3725.0330560869443,,-0.0001287672850454058
3747.779962587556,2025-07-26 05:09:54.480,3728.8568896432976,,0.001856912917043152
3747.586513014455,2025-07-26 06:08:44.651,3732.7282243743134,,-5.1617110671475785e-05
3739.60778576383,2025-07-26 07:03:54.800,3735.289327529677,,-0.002129030837024426
3744.0757534062027,2025-07-26 08:04:05.033,3738.376408762268,,0.0011947690502147612
3764.564448073346,2025-07-26 09:09:47.220,3746.5376203884216,,0.005472297041133167
3760.081136336678,2025-07-26 10:04:56.439,3749.2184513729653,,-0.0011909244212733316
3762.4129769966135,2025-07-26 11:02:28.024,3752.301225168383,,0.0006201570060286876
3741.4811464072254,2025-07-26 12:01:28.849,3751.401394285479,,-0.005563405909283503
3742.842898430388,2025-07-26 13:04:31.480,3750.723735059183,,0.00036396068024280304
3743.4273931490466,2025-07-26 14:09:22.522,3751.2693932570714,,0.00015616330541257106
3733.1625931590934,2025-07-26 15:04:41.242,3749.710370364627,,-0.002742086038249103
3736.0113108985292,2025-07-26 16:07:44.693,3745.6313507682244,,0.0007630842933699089
3728.265313321253,2025-07-26 17:06:41.144,3741.0862331945928,,-0.0020733335455060953
3725.972890435996,2025-07-26 18:09:36.630,3735.8805065430756,,-0.0006148765424677238
3742.8564004144664,2025-07-26 19:04:36.089,3736.076971401253,,0.004531302420854422
3751.2303911951935,2025-07-26 20:01:51.213,3737.2751846533683,,0.0022373262249120174
3746.441050745141,2025-07-26 21:04:03.559,3737.705707167096,,-0.0012767385499151684
3755.67604200849,2025-07-26 22:10:40.479,3740.921914145581,,0.0024650037564348803
3752.941889991397,2025-07-26 23:06:22.995,3743.3405683017054,,-0.0007280052875995313
3742.4314258659915,2025-07-27 00:03:57.476,3745.364298665239,3732.4439692666037,-0.0028005933567571972
3753.290913565329,2025-07-27 01:05:23.187,3749.2668733980017,3735.7953121926707,0.002901719888380949
3760.371644907789,2025-07-27 02:04:34.737,3751.7690511827614,3739.5833216496835,0.001886539441125823
3781.6114284563264,2025-07-27 03:08:13.462,3756.1091993629234,3742.6451567246313,0.0056483203135786475
3774.8032555045647,2025-07-27 04:02:31.222,3760.160942899984,3744.4381609850143,-0.001800336465172192
3789.1964240970506,2025-07-27 05:08:56.536,3764.949568912635,3746.7284694583377,0.003812958614862083
3787.9836004244576,2025-07-27 06:04:56.941,3769.95552754593,3748.938587349943,-0.00032007410987722196
3774.48769422452,2025-07-27 07:04:06.484,3774.534994454291,3750.672637664825,-0.003562820651711651
3772.926493539247,2025-07-27 08:01:25.932,3777.3400773077083,3752.8556552264577,-0.00041361922775950966
3771.8073455220106,2025-07-27 09:04:27.575,3778.9737488240253,3753.8720560956954,-0.00029662597963486803
3762.5073612993424,2025-07-27 10:04:15.803,3776.2445963730274,3754.5945161247173,-0.002465657275340205
3821.1549582597786,2025-07-27 11:04:41.308,3782.866268195201,3757.0403493137915,0.01558737068893934
3816.7280311465806,2025-07-27 12:06:05.509,3786.799354916562,3759.3450665848627,-0.0011585311670306853
3827.948710774486,2025-07-27 13:08:25.792,3792.5086563951377,3762.2897640852175,0.0029398687924153677
3812.085553859034,2025-07-27 14:01:55.559,3797.8797792000687,3764.5567574336455,-0.004144035909050214
3804.338531150317,2025-07-27 15:00:31.753,3802.367213144507,3765.882560202878,-0.002032226874046583
3823.0345948998233,2025-07-27 16:09:49.167,3809.6853916270516,3767.981008821649,0.004914405906945696
3814.567313028759,2025-07-27 17:07:32.684,3817.1225275883967,3769.7194866893874,-0.002214806500145272
3841.746413469719,2025-07-27 18:09:44.130,3820.06416404696,3773.0616622581374,0.007125080831088981
3847.1888739793812,2025-07-27 19:08:58.988,3824.415713023074,3776.5398614431037,0.0014166631328347279
3833.337509451237,2025-07-27 20:09:12.905,3825.185541405467,3779.5368653198434,-0.003600385887427726
3825.6066755830943,2025-07-27 21:10:45.386,3827.11713022319,3782.6183347339766,-0.002016737072872421
3841.224611573751,2025-07-27 22:09:28.497,3832.3865702836806,3786.1254447564843,0.0040824730075723625
3859.495264607309,2025-07-27 23:07:35.826,3837.59523738475,3790.4997764660197,0.004756465679853106
3869.230122572728,2025-07-28 00:09:26.007,3845.404210176746,3795.2750175372435,0.0025223137477821123
3868.001556494787,2025-07-28 01:05:51.567,3849.1549448946125,3799.446522739921,-0.00031752210104363243
3848.5390997519653,2025-07-28 02:05:24.580,3849.347834290696,3802.6901463584804,-0.005031656905655102
3887.711642423177,2025-07-28 03:09:42.069,3857.1155675724012,3807.399166081081,0.010178548705335189
3875.6381644731496,2025-07-28 04:00:35.286,3864.262923128124,3811.3979034965696,-0.003105548729046781
3902.119408848067,2025-07-28 05:04:40.742,3872.9621798815974,3816.370487458459,0.0068327442478153255
3933.786596276379,2025-07-28 06:07:15.510,3883.5752272628933,3822.748993138805,0.008115381440277458
